Quem testou,Data,Assunto,Pergunta,Resposta do chatbot (ou parte principal desta),Correção sugerida,Severidade
Renato,04/03/2026,Calendário de Janelas,e quais serão as janelas de envio de dados?,"Primeira janela de 2026: de 19 de janeiro a 06 de fevereiro
Segunda janela de 2026: de 10 de fevereiro a 06 de março",Atualizar calendário de janelas,"S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Renato,04/03/2026,grupos de whatsapp,como posso ter acesso ao grupo de whataspp?,"No entanto, as informações sobre como ter acesso direto a este grupo (como um link ou QR Code específico para adesão) não estão detalhadas na minha base de conhecimento atual","Criar material com link do grupo geral (""canal de transmissão"")","S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Renato,04/03/2026,Primeiro acesso,"estou chegando agora. Meus primeiros passos. Não sei nada, por onde eu começo?","1) Roteiro sem link ou encaminhamentos concretos

2) Datas de plantões desatualziadas (20/01 - 10h)",Revisar materiis deste segmento de primeiro acesso,S2 — Alta: resposta incorreta ou incompleta em tema muito recorrente.
Carlos MEC,05/03/2026,Login,-,-,"Add (se for ter esse cadastro) formações:
Mestrando
Mestrado
Doutorando
Doutor","S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Carlos MEC,05/03/2026,respostas,-,-,Ser clicável,"S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Gabriel Mallet,06/03/2026,Orientações sobre cadastro de matrícula,"Você pode me ajudar a enviar cadastros de matrículas no sistema?
","[...]
DADOS OBRIGATÓRIOS - PLANILHA DE CADASTRO E REMATRÍCULA:

| Texto da coluna | Tipo de dado | Observação","A resposta iniciou bem completa, indicando o passo a passo para envio do dado no SGP, mas ao final, não gerou a informação dos dados obrigatórios na planilha e o sistema travou, sem completar a resposta. Tive que apertar o botão de stop para ele parar de tentar gerar a resposta.",S2 — Alta: resposta incorreta ou incompleta em tema muito recorrente.
João Bispo Dos Santos Júnior ,06/03/2026,Qual seria o impacto de informe de evasão.,"Qual seria impacto da evasão pro aluno depois de cadastrado após, aprovação ou reprovação?","Qual seria impacto da evasão pro aluno depois de cadastrado aprovação ou reprovação?
Olá! No SGP 2.0, a ""evasão"" é uma das situações finais de matrícula que pode ser registrada para um estudante, assim como a ""aprovação"" ou ""reprovação"".

Se um estudante teve sua aprovação ou reprovação registrada e, posteriormente, ocorre a evasão, o impacto é o seguinte:

Cancelamento da Matrícula: A evasão significa que o estudante não está mais na rede de ensino. O sistema registrará essa situação, levando ao cancelamento da matrícula ativa.
Status ""INATIVO"": Conforme as movimentações são concluídas e atualizadas no SGP, o estudante passará a ter o status ""INATIVO"".
Registro Histórico: A aprovação ou reprovação anterior permanecerá registrada no histórico do estudante para o ano letivo ou período em que ocorreu. No entanto, a situação atual do estudante na rede será de ""evasão"", indicando que ele não faz mais parte do sistema educacional.
Em resumo, a evasão encerra o vínculo do estudante com a rede, independentemente de seu último resultado acadêmico (aprovação ou reprovação), e o status no SGP será atualizado para refletir essa saída.

Posso ajudar com mais alguma dúvida sobre as movimentações de matrícula?","Que fosse mais direto ao ponto principal, que era qual impacto isso teria na jornada do estudante.","S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Diego,06/03,Acesso às planilhas,O operador do sistema está com dificuldade para baixar a planilha de movimentação. Consegue me ajudar?,"Olá! Para baixar o modelo da planilha de movimentação no SGP 2.0, você deve seguir os passos para acessar a planilha de cadastro e rematrícula, que é utilizada para novas movimentações e alterações de matrículas ativas.
Siga este passo a passo:

No menu superior do sistema, clique em ""Estudantes"".

Na lateral esquerda da tela, você encontrará o menu ""Gerenciar Estudantes"".

Depois, siga para a aba ""Cadastrar e rematrícula"".

No painel principal da aba ""Cadastrar e rematricular"", você encontrará o ícone ""Baixar modelo"" de planilha.

Este modelo é a ""Planilha de matrícula de novos cadastros e alterar matrículas ativas"", que é a base para registrar novas movimentações.

Lembre-se que, conforme as orientações, a ""planilha de envio é para novas movimentações"", enquanto a ""planilha de edição ou confirmação é o processo de editar ou confirmar"" dados já existentes.

Posso ajudar com mais alguma etapa do processo?",,
Gabriel Mallet,06/03/2026,Mudanças do SGP 1.0 para 2.0,"O que preciso cuidar nos envios do SGP 2.0 em relação a mudanças no sistema da versão anterior?
","Olá! Para garantir o sucesso no envio de dados para o SGP 2.0, é fundamental estar atento a alguns pontos importantes. Não tenho informações sobre as mudanças específicas em relação a uma versão anterior, mas posso detalhar o que você precisa cuidar nos envios atuais: [...]",Ter informação das principais mudanças no sistema de forma comparada entre a versão anterior e o SGP 2.0,"S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
Vanessa Moura,06/03/2026,SGP,O SGP é um programa?,"Sim, o Sistema Gestão Presente (SGP) é um sistema ou plataforma desenvolvido pelo Ministério da Educação (MEC). Ele funciona como uma ferramenta digital para a gestão de dados da Educação Básica, auxiliando no acompanhamento de estudantes, profissionais e escolas.




","Não, o Sistema Gestão Presente (SGP) é um sistema ou plataforma desenvolvido pelo Ministério da Educação (MEC). Ele funciona como uma ferramenta digital para a gestão de dados da Educação Básica, auxiliando no acompanhamento de estudantes, profissionais e escolas.




","S3 — Média: ruído de clareza, falta exemplo, pequena lacuna."
